text,type,image,index
"\n- <b>Definition</b>\n\n- <b>Processing</b>\n\n- <b>Recycling</b>\n\n- <b>Risks</b>\n\n- <b>Pollution</b>\n\n- <b>Disaster</b>\n\n",Categories,"empty",nil
"- <b>Tensions</b>\n\n- <b>Conflicts</b>\n\n- <b>In France</b>\n\n- <b>Geography</b>\n\n- <b>For information</b>\n\n- <b>In pictures</b>",Categories,"empty",nil
"An <b>ore</b> is a rock that is mined in order to obtain metals or other useful minerals, after several stages of processing.",Definition,"empty",1
"<b>Waste rock</b> is the rock that needs to be extracted in order to reach the ore.",Definition,"empty",2
"<b>Mine tailings</b>  are the solid or liquid waste produced when processing the ore.",Definition,"empty",3
" ,In pictures, "Antamina_Mine_Tailings_Pond",4
"In order to store mine tailings, artificial ponds are created by building dams or embankments. \n\n<b>Dam breaches</b> are one of the causes of mine-related disasters.",Risks,"empty",5
"Brumadinho dam breach, Brazil, 2019, TV NBR, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons",In pictures,"Resumo_da_agenda_do_Presidente",6
"Once the ore has been excavated, it is crushed, ground and sorted in order to separate out the desired minerals.\n\nThis processing stage consumes a lot of energy and water, and generates tailings.",Processing,"empty",7
"When the ore has been reduced to powder, it undergoes various chemical and physical treatments to eliminate impurities until the desired metal is obtained.",Processing,"empty",8
"Mining waste (tailings and waste rock) often contains heavy metals, which occur naturally in the mine and represent a danger to health and to the environment: lead, mercury, arsenic, etc.",Risks,"empty",9
"Mine tailings contain dangerous chemicals that are used during ore-processing operations.\n\nFor example, cyanide is used in the processing of gold.",Risks,"empty",10
"Ore extraction and the initial processing operations (crushing and grinding) generate dust, which is a major source of water and soil pollution.",Pollution,"empty",11
"Mining waste (tailings and waste rock) often contains sulfur, which reacts chemically with air and water, and then with other pollutants (lead, arsenic, etc.), thus causing serious water pollution.",Pollution,"empty",12
"Cleaning up pollution in former mining sites is difficult, costly and takes an extremely long time, and is sometimes even impossible.",Pollution,"empty",13
"<b>Brazil, 2015</b>. Breach of a tailings dam near an iron ore mine, which the Brazilian government qualified as "<i>the country's biggest ever environmental disaster<i>". The long-term pollution stretched as far as the Atlantic Ocean 650 km away.",Disaster,"empty",14
"<b>Romania, 2000</b>. Dam breach near a waste-rock processing plant.\n\nThe pollutants (including 115 tons of cyanide) destroyed almost all the flora and fauna in a nearby river over a distance of almost 600 km.",Disaster,"empty",15
"<b>Canada, 2014</b>. Dam breach near a copper and gold mine.\n\nMine tailings, containing hundreds of tons of lead, spilled into two lakes downstream.",Disaster,"empty",16
